id,title,link,description,image,genre,entry-page,data,entry page,content page,atlas structure,vis interaction,atlas navigation,onboarding,transparency,vis type
19,The Atlas of Economic Complexity,https://atlas.cid.harvard.edu/,xx,19.png,exploratoria,,"Updatable, Internal dataset","Featured, Lenses, Vis screenshot","Report, Article, Exploratory vis","Parallel, Multifacets","Create focus, Customize data, Switch views","Search, Structural overview, Page links","Walkthrough, Glossary, Video, Textual user guide","Data sourced, Export data/vis, Quality Evaluation, Methodology","Basic charts, Maps, Networks, Trees, Projection, Others"
20,Gender Data Portal,https://genderdata.worldbank.org/,xx,20.png,exploratoria,,"Updatable, Internal dataset","Featured, Lenses, Vis screenshot","Report, Article, Exploratory vis","Parallel, Multifacets","Create focus, Customize data, Switch views","Search, Structural overview, Page links",Textual user guide,"Data sourced, Export data/vis, Quality Evaluation, Methodology","Basic charts, Maps, Others"
21,Pantheon,https://pantheon.world/,xx,21.png,exploratoria,,Internal dataset,"Featured, Personalisation, Lenses","Report, Exploratory vis, Table","Parallel, Multifacets","Create focus, Customize data, Switch views","Search, Structural overview, Page links",,"Data sourced, Export data/vis, Methodology","Basic charts, Trees"
22,Better Life Index,https://www.oecdbetterlifeindex.org/,xx,22.png,exploratoria,,"Updatable, Internal dataset","Personalisation, Table of content, Lenses, Interactive vis, Vis screenshot","Report, Article, Exploratory vis","Parallel, Multifacets","Create focus, Customize data, Coordinated views","Structural overview, Page links",Textual user guide,"Data sourced, Export data/vis, Methodology","Basic charts, Maps, Glyphs"
23,Uppsala Conflict Data Program,https://ucdp.uu.se/,xx,23.png,exploratoria,,"Updatable, Internal dataset","Personalisation, Interactive vis","Dashboard, Exploratory vis, Chart collection","Parallel, Multifacets","Create focus, Customize data","Search, Page links","Video, Textual user guide","Data sourced, Export data/vis, Quality Evaluation, Methodology","Basic charts, Maps"
24,IPCC WGI Interactive Atlas,https://interactive-atlas.ipcc.ch/,xx,24.png,exploratoria,,Internal dataset,"Personalisation, Cover vis/teaser","Exploratory vis, Table, Combination",Multifacets,"Create focus, Customize data, Switch views, Coordinated views, Configure Layout",,"Walkthrough, Video, Textual user guide","Data sourced, Export data/vis, Open source, Methodology","Basic charts, Maps, Glyphs"
25,The Opportunity Atlas,https://www.opportunityatlas.org/,xx,25.png,exploratoria,,"Updatable, Internal dataset","Personalisation, Interactive vis","Article, Exploratory vis",Parallel,"Create focus, Customize data, Switch views","Search, Visual identity, Page links","Walkthrough, Video","Data sourced, Export data/vis, Methodology",Maps
26,The Social Capital Atas,https://socialcapital.org/,xx,26.png,exploratoria,,"Updatable, Internal dataset","Metadata, Personalisation, Table of content",Exploratory vis,Parallel,"Create focus, Customize data, Switch views","Search, Visual identity, Structural overview",Walkthrough,"Data sourced, Export data/vis, Methodology","Basic charts, Maps"
27,Pheniox Health Dashboard,https://phoenix-data.wayne.edu/map/general/bphigh/all%20data/tract/basic?geo=tract26163517500&state=state26&parentgeolevel=state&zoom=6,xx,27.png,exploratoria,,"Updatable, Internal dataset",Interactive vis,Exploratory vis,Parallel,"Create focus, Customize data","Search, Structural overview",Walkthrough,"Data sourced, Export data/vis",Maps
28,Brain Atlases,https://www.humanbrainproject.eu/en/science-development/focus-areas/brain-atlases/,xx,28.png,exploratoria,,Internal dataset,"Table of content, Vis screenshot",Exploratory vis,Parallel,"Create focus, Customize data",,Walkthrough,"Data sourced, Export data/vis, Methodology",Others
29,AgEvidence,https://www.agevidence.org/,xx,29.png,exploratoria,,"Updatable, Internal dataset","Metadata, Vis screenshot","Article, Exploratory vis, Combination","Parallel, Hierarchical","Create focus, Customize data",Structural overview,,"Data sourced, Export data/vis, Methodology","Maps, Others"
30,The U.S. Climate Vulnerability Index,https://climatevulnerabilityindex.org/,xx,30.png,exploratoria,,"Updatable, Internal dataset",Vis screenshot,"Report, Exploratory vis","Parallel, Hierarchical","Create focus, Customize data","Search, Visual identity, Structural overview","Walkthrough, Video, Textual user guide","Data sourced, Export data/vis, Open source, Methodology",Maps
31,UCLA Energy Atlas,https://www.energyatlas.ucla.edu/,xx,31.png,exploratoria,,"Updatable, Internal dataset","Table of content, Cover vis/teaser","Article, Exploratory vis",Parallel,"Create focus, Customize data, Coordinated views",,Textual user guide,"Data sourced, Export data/vis, Quality Evaluation, Methodology","Basic charts, Maps"
32,Copernicus Interactive Climate Atlas,https://climate.copernicus.eu/copernicus-interactive-climate-atlas-guide-powerful-new-c3s-tool?utm_source=socialmedia&utm_medium=tw&utm_id=news-climate-atlas-0224,xx,32.png,exploratoria,,External dataset,Interactive vis,Exploratory vis,No structure,"Create focus, Customize data",,Textual user guide,"Data sourced, Export data/vis, Methodology",Maps
33,The Tree Library,https://treelibrary.org/,xx,33.png,exploratoria,,"Updatable, Internal dataset","Featured, Interactive vis","Exploratory vis, Table",Hierarchical,Create focus,"Visual identity, Page links",Textual user guide,,"Maps, Glyphs"
